query_image_id,query_image_name,query_image_path,query_region_id,query_region_area,query_region_bbox,query_patch_index,patch_row,patch_col,region_source,library_type,library_path,rank,distance,vector_id,image_id,roi_id,image_name,image_path,image_relative,mask_path,component_id,area,bbox_original,bbox_feature
img_223a4f629697f2ab,picture_6_2025_07_21_20_07_24_156.jpg,/data/wt/ramdisk/leishi_026/test/bad/picture_6_2025_07_21_20_07_24_156.jpg,1,8975,"[187.0, 1896.0, 375.0, 2364.0]",0,40,6,gui_lookup_results/query_20260807_151059_220460/query_mask.png,good,/data/wt/two_stages/base_patch/good,1,0.13442078232765198,1175,img_223a4f629697f2ab,img_223a4f629697f2ab_roi_0009_p2,picture_6_2025_07_21_20_07_24_156.jpg,/data/wt/ramdisk/test_export_03/images/picture_6_2025_07_21_20_07_24_156.jpg,picture_6_2025_07_21_20_07_24_156.jpg,/data/wt/ramdisk/test_export_03/annotations/picture_6_2025_07_21_20_07_24_156.json,9,1,"[1049.0, 1906.0, 1305.0, 2108.0]","[25.0, 39.0, 26.0, 40.0]"
img_223a4f629697f2ab,picture_6_2025_07_21_20_07_24_156.jpg,/data/wt/ramdisk/leishi_026/test/bad/picture_6_2025_07_21_20_07_24_156.jpg,1,8975,"[187.0, 1896.0, 375.0, 2364.0]",0,40,6,gui_lookup_results/query_20260807_151059_220460/query_mask.png,anomaly,/data/wt/two_stages/base_patch/anomaly,1,0.0,125,img_223a4f629697f2ab,img_223a4f629697f2ab_roi_0001_p0,picture_6_2025_07_21_20_07_24_156.jpg,/data/wt/ramdisk/test_export_03/images/picture_6_2025_07_21_20_07_24_156.jpg,picture_6_2025_07_21_20_07_24_156.jpg,/data/wt/ramdisk/test_export_03/annotations/picture_6_2025_07_21_20_07_24_156.json,1,1,"[187.0, 1900.0, 385.0, 2379.0]","[6.0, 40.0, 7.0, 41.0]"
img_223a4f629697f2ab,picture_6_2025_07_21_20_07_24_156.jpg,/data/wt/ramdisk/leishi_026/test/bad/picture_6_2025_07_21_20_07_24_156.jpg,1,8975,"[187.0, 1896.0, 375.0, 2364.0]",1,45,8,gui_lookup_results/query_20260807_151059_220460/query_mask.png,good,/data/wt/two_stages/base_patch/good,1,0.2136087417602539,874,img_fd4c1a83e06934a1,img_fd4c1a83e06934a1_roi_0016_p3,picture_5_2025_07_28_09_52_26_788.jpg,/data/wt/ramdisk/test_export_03/images/picture_5_2025_07_28_09_52_26_788.jpg,picture_5_2025_07_28_09_52_26_788.jpg,/data/wt/ramdisk/test_export_03/annotations/picture_5_2025_07_28_09_52_26_788.json,16,1,"[116.0, 2299.0, 457.0, 2470.0]","[7.0, 46.0, 8.0, 47.0]"
img_223a4f629697f2ab,picture_6_2025_07_21_20_07_24_156.jpg,/data/wt/ramdisk/leishi_026/test/bad/picture_6_2025_07_21_20_07_24_156.jpg,1,8975,"[187.0, 1896.0, 375.0, 2364.0]",1,45,8,gui_lookup_results/query_20260807_151059_220460/query_mask.png,anomaly,/data/wt/two_stages/base_patch/anomaly,1,0.0,126,img_223a4f629697f2ab,img_223a4f629697f2ab_roi_0001_p1,picture_6_2025_07_21_20_07_24_156.jpg,/data/wt/ramdisk/test_export_03/images/picture_6_2025_07_21_20_07_24_156.jpg,picture_6_2025_07_21_20_07_24_156.jpg,/data/wt/ramdisk/test_export_03/annotations/picture_6_2025_07_21_20_07_24_156.json,1,1,"[187.0, 1900.0, 385.0, 2379.0]","[8.0, 45.0, 9.0, 46.0]"
