query_image_id,query_image_name,query_image_path,query_region_id,query_region_area,query_region_bbox,query_patch_index,patch_row,patch_col,query_feature_shape,query_patch_bbox_feature,query_patch_center_feature,query_patch_bbox_resized,query_patch_center_resized,query_patch_bbox_original,query_patch_center_original,region_source,library_type,library_path,rank,distance,vector_id,image_id,roi_id,image_name,image_path,image_relative,mask_path,component_id,area,bbox_original,bbox_feature,patch_bbox_original,patch_center_original,patch_center_inside_mask,patch_bbox_resized,patch_center_resized,feature_shape
img_749946ede4814243,Pro0711_A-32-0_small_2_.779_32_7206927968442435073_废料.jpg,/data/wt/ramdisk/leishi_026/test/bad/Pro0711_A-32-0_small_2_.779_32_7206927968442435073_废料.jpg,1,98590,"[1276.0, 351.0, 1688.0, 735.0]",0,9,32,"[48, 48]","[32.0, 9.0, 33.0, 10.0]","[32.5, 9.5]","[448.0, 126.0, 462.0, 140.0]","[455.0, 133.0]","[1433.3333333333333, 463.125, 1478.125, 514.5833333333334]","[1455.7291666666667, 488.8541666666667]",gui_lookup_results/query_20260810_143626_849800/query_mask.png,good,/data/wt/two_stages/base_patch/good,1,0.2607288956642151,894,img_eb36da54ee420c13,img_eb36da54ee420c13_roi_0002_p58,picture_15_2025_07_23_14_35_57_870.jpg,/data/wt/ramdisk/test_export_03/images/picture_15_2025_07_23_14_35_57_870.jpg,picture_15_2025_07_23_14_35_57_870.jpg,/data/wt/ramdisk/test_export_03/annotations/picture_15_2025_07_23_14_35_57_870.json,2,1,"[57.0, 9.0, 887.0, 562.0]","[13.0, 5.0, 14.0, 6.0]","[582.2916666666666, 257.2916666666667, 627.0833333333334, 308.75]","[604.6875, 283.0208333333333]",True,"[182.0, 70.0, 196.0, 84.0]","[189.0, 77.0]","[48, 48]"
img_749946ede4814243,Pro0711_A-32-0_small_2_.779_32_7206927968442435073_废料.jpg,/data/wt/ramdisk/leishi_026/test/bad/Pro0711_A-32-0_small_2_.779_32_7206927968442435073_废料.jpg,1,98590,"[1276.0, 351.0, 1688.0, 735.0]",0,9,32,"[48, 48]","[32.0, 9.0, 33.0, 10.0]","[32.5, 9.5]","[448.0, 126.0, 462.0, 140.0]","[455.0, 133.0]","[1433.3333333333333, 463.125, 1478.125, 514.5833333333334]","[1455.7291666666667, 488.8541666666667]",gui_lookup_results/query_20260810_143626_849800/query_mask.png,anomaly,/data/wt/two_stages/base_patch/anomaly,1,0.2755553126335144,258,img_32a862fa38031635,img_32a862fa38031635_roi_0001_p1,Pro0711_A-11-0_small_2_.299_11_1226148208847066625_废料.jpg,/data/wt/ramdisk/test_export_03/images/Pro0711_A-11-0_small_2_.299_11_1226148208847066625_废料.jpg,Pro0711_A-11-0_small_2_.299_11_1226148208847066625_废料.jpg,/data/wt/ramdisk/test_export_03/annotations/Pro0711_A-11-0_small_2_.299_11_1226148208847066625_废料.json,1,1,"[1610.0, 1267.0, 1738.0, 1430.0]","[37.0, 25.0, 38.0, 26.0]","[1657.2916666666667, 1286.4583333333333, 1702.0833333333333, 1337.9166666666667]","[1679.6875, 1312.1875]",True,"[518.0, 350.0, 532.0, 364.0]","[525.0, 357.0]","[48, 48]"
