Suite,Config,I-AUROC,I-AP,I-F1,P-AUROC,P-AP,P-F1,P-AUPRO,R-MissRate,R-FP-RegionCount,R-PixelCoverage,R-FPR,Elapsed
0_Baseline,00_Raw_Dinomaly_Baseline,0.9155737704918033,0.9891139329047045,0.9687248898790964,0.9844638712405288,0.4829890051328682,0.5190108621983003,0.9246793374029288,0.002107728337236534,22800.0,0.9841980500802764,0.9640919131343,39.95913767814636
0_Baseline,01_Standard_TwoStage_L2Sq_PureMargin,0.9195550351288055,0.9895724722546835,0.970328739117268,0.9846380807071505,0.4838979588660109,0.5192619392707404,0.9261622188712422,0.002107728337236534,22117.0,0.9838327187559275,0.9624646646346715,37.32489490509033
0_Baseline,02_Standard_TwoStage_L2Sq_HardTrigger_0.15,0.9218735362997658,0.9898556220333631,0.9696485123329854,0.9847382964941159,0.4846405333070735,0.5196870062446456,0.9272797218420998,0.002107728337236534,22118.0,0.9838368068962324,0.9624652594620526,37.07590341567993
1_Metric_Geometry,01_L2_Squared,0.9195550351288055,0.9895724722546835,0.970328739117268,0.9846380807071505,0.4838979588660109,0.5192619392707404,0.9261622188712422,0.002107728337236534,22117.0,0.9838327187559275,0.9624646646346715,35.86883878707886
1_Metric_Geometry,02_L2_Norm_Chord,0.9180327868852459,0.9893958539785358,0.9695023577264286,0.9845783323820866,0.483553857052042,0.5191361246424674,0.9255508418001805,0.002107728337236534,22374.0,0.9838170134835891,0.9631401935693287,35.94679856300354
1_Metric_Geometry,03_Cosine_Distance,0.9195550351288055,0.9895724722546835,0.970328739117268,0.9846380807104285,0.48389795898183835,0.5192619392707404,0.9261622188712422,0.002107728337236534,22117.0,0.9838327187559275,0.9624646646346715,36.58068561553955
1_Metric_Geometry,04_Spherical_Angular_Geodesic,0.9180327868852459,0.9893958539785358,0.9695023577264286,0.9845796110437642,0.4835600986929549,0.5191350853308185,0.9255597404616578,0.002107728337236534,22369.0,0.9838170134835891,0.9631234931584399,35.67059063911438
1_Metric_Geometry,05_Cayley_Hyperbolic,0.9196018735362997,0.9895799459557392,0.9695512320764531,0.9846434382013192,0.48392914058067676,0.5192757201162774,0.9262052547971354,0.002107728337236534,22084.0,0.9838327187559275,0.9623527086256266,33.677562952041626
1_Metric_Geometry,06_Power_Cosine_gamma1.5,0.9206088992974238,0.989697206359917,0.9695023577264286,0.9846783657628863,0.48416029905540503,0.5193582432484285,0.9264487101767065,0.0029274004683840747,21946.0,0.9834379374292546,0.9620659319194965,34.40981864929199
1_Metric_Geometry,07_Power_Cosine_gamma2.0,0.9209133489461359,0.9897340230256899,0.9687749700429705,0.9847052373479948,0.48434756157095865,0.5194395850427653,0.9266037242398047,0.0029274004683840747,21848.0,0.9834466112084201,0.9617254041624758,34.0246958732605
1_Metric_Geometry,08_L1_Manhattan,0.9178922716627634,0.9893787897618873,0.9695023577264286,0.9845767936957976,0.4835479686222612,0.5191331599382415,0.9255526706577712,0.002107728337236534,22372.0,0.9838170134835891,0.9631220560790739,33.79369235038757
1_Metric_Geometry,09_Minkowski_L0.5,0.9179859484777518,0.9893880344884659,0.9695023577264286,0.984575680524825,0.48354562859784594,0.5191312345302457,0.9255512148139806,0.002107728337236534,22369.0,0.9838170134835891,0.9631147184835109,33.882153034210205
1_Metric_Geometry,10_Minkowski_L1.5,0.9179625292740047,0.9893879974915742,0.9695023577264286,0.9845777933382144,0.48355087292634397,0.5191361246424674,0.9255484259664548,0.002107728337236534,22376.0,0.9838170134835891,0.9631325559682751,33.80001878738403
1_Metric_Geometry,11_Chebyshev_Linf,0.9174941451990632,0.9893348110288733,0.9687248898790964,0.9845742164133477,0.48355093220559986,0.5191509479855378,0.9256007918825363,0.002107728337236534,22348.0,0.9838170134835891,0.9630679374977413,33.46847176551819
2_Mahalanobis,Maha_Diag_eps_0.0001,0.917728337236534,0.989361786232416,0.9695023577264286,0.9845741278259761,0.48353269394729925,0.5191282697984235,0.9255198203654287,0.002107728337236534,22387.0,0.9838170134835891,0.9631622594388449,33.7756724357605
2_Mahalanobis,Maha_Diag_eps_0.0005,0.9179156908665106,0.9893827441832979,0.9695023577264286,0.9845755282371007,0.48353940393943357,0.5191282697984235,0.9255287305753027,0.002107728337236534,22380.0,0.9838170134835891,0.9631411244906262,33.35158848762512
2_Mahalanobis,Maha_Diag_eps_0.001,0.9179859484777518,0.989390550325669,0.9695023577264286,0.9845762840047969,0.4835432194735318,0.5191341992501971,0.9255304173544239,0.002107728337236534,22380.0,0.9838170134835891,0.9631426170021901,33.73459529876709
2_Mahalanobis,Maha_Diag_eps_0.002,0.9180093676814989,0.9893926914843004,0.9695023577264286,0.9845770262894964,0.4835470215556855,0.5191361246424674,0.9255387251270131,0.002107728337236534,22376.0,0.9838170134835891,0.9631424228928057,34.723450899124146
2_Mahalanobis,Maha_Diag_eps_0.005,0.9180093676814989,0.9893926914843004,0.9695023577264286,0.9845776777344997,0.48355048780335497,0.5191361246424674,0.925545619448946,0.002107728337236534,22377.0,0.9838170134835891,0.9631426016930104,34.69634222984314
2_Mahalanobis,Maha_Diag_eps_0.01,0.9180327868852459,0.9893958539785358,0.9695023577264286,0.9845779550823708,0.48355195125010103,0.5191361246424674,0.925546840839313,0.002107728337236534,22375.0,0.9838170134835891,0.963141903867795,33.54594087600708
2_Mahalanobis,Maha_Diag_eps_0.05,0.9180327868852459,0.9893958539785358,0.9695023577264286,0.9845782486610045,0.48355345055601917,0.5191361246424674,0.9255507809996242,0.002107728337236534,22372.0,0.9838170134835891,0.9631365918354191,33.07499599456787
2_Mahalanobis,Maha_Diag_eps_0.1,0.9180327868852459,0.9893958539785358,0.9695023577264286,0.9845783114635978,0.4835537307273175,0.5191361246424674,0.9255508003359183,0.002107728337236534,22373.0,0.9838170134835891,0.9631375914355791,33.55685043334961
2_Mahalanobis,Maha_Diag_eps_1e-3_Squared,0.9195316159250585,0.9895688934649384,0.970328739117268,0.9846350717387187,0.48388054813788045,0.5192600146134267,0.9261281263431407,0.002107728337236534,22114.0,0.9838281650218654,0.9624465397457856,33.161003828048706
2_Mahalanobis,Maha_Shrinkage_alpha_0.02,0.9179859484777518,0.989390550325669,0.9695023577264286,0.9845763196754618,0.48354341997914685,0.5191341992501971,0.9255307752296031,0.002107728337236534,22380.0,0.9838170134835891,0.9631426170021901,33.67239689826965
2_Mahalanobis,Maha_Shrinkage_alpha_0.05,0.9179859484777518,0.989390550325669,0.9695023577264286,0.9845763679114815,0.48354366132608195,0.5191341992501971,0.9255311555531363,0.002107728337236534,22380.0,0.9838170134835891,0.9631426170021901,33.32921290397644
