query_image_id,query_image_name,query_image_path,query_region_id,query_region_area,query_region_bbox,query_patch_index,patch_row,patch_col,region_source,library_type,library_path,rank,distance,vector_id,image_id,roi_id,image_name,image_path,image_relative,mask_path,component_id,area,bbox_original,bbox_feature
img_7db979cdc486917a,picture_4_2025_07_28_09_52_00_279.jpg,/data/wt/ramdisk/leishi_026/test/bad/picture_4_2025_07_28_09_52_00_279.jpg,1,9966,"[714.0, 1971.0, 813.0, 2433.0]",0,46,17,gui_lookup_results/query_20260807_154852_224327/query_mask.png,good,/data/wt/two_stages/base_patch/good,1,0.19508355855941772,264,img_8aac19963b4fb17b,img_8aac19963b4fb17b_roi_0011_p0,picture_0_2025_07_23_11_44_04_659.jpg,/data/wt/ramdisk/test_export_03/images/picture_0_2025_07_23_11_44_04_659.jpg,picture_0_2025_07_23_11_44_04_659.jpg,/data/wt/ramdisk/test_export_03/annotations/picture_0_2025_07_23_11_44_04_659.json,11,1,"[655.0, 1204.0, 1010.0, 1847.0]","[15.0, 32.0, 16.0, 33.0]"
img_7db979cdc486917a,picture_4_2025_07_28_09_52_00_279.jpg,/data/wt/ramdisk/leishi_026/test/bad/picture_4_2025_07_28_09_52_00_279.jpg,1,9966,"[714.0, 1971.0, 813.0, 2433.0]",0,46,17,gui_lookup_results/query_20260807_154852_224327/query_mask.png,anomaly,/data/wt/two_stages/base_patch/anomaly,1,0.14274469017982483,126,img_223a4f629697f2ab,img_223a4f629697f2ab_roi_0001_p1,picture_6_2025_07_21_20_07_24_156.jpg,/data/wt/ramdisk/test_export_03/images/picture_6_2025_07_21_20_07_24_156.jpg,picture_6_2025_07_21_20_07_24_156.jpg,/data/wt/ramdisk/test_export_03/annotations/picture_6_2025_07_21_20_07_24_156.json,1,1,"[187.0, 1900.0, 385.0, 2379.0]","[8.0, 45.0, 9.0, 46.0]"
img_7db979cdc486917a,picture_4_2025_07_28_09_52_00_279.jpg,/data/wt/ramdisk/leishi_026/test/bad/picture_4_2025_07_28_09_52_00_279.jpg,1,9966,"[714.0, 1971.0, 813.0, 2433.0]",1,42,16,gui_lookup_results/query_20260807_154852_224327/query_mask.png,good,/data/wt/two_stages/base_patch/good,1,0.1372126340866089,270,img_8aac19963b4fb17b,img_8aac19963b4fb17b_roi_0011_p6,picture_0_2025_07_23_11_44_04_659.jpg,/data/wt/ramdisk/test_export_03/images/picture_0_2025_07_23_11_44_04_659.jpg,picture_0_2025_07_23_11_44_04_659.jpg,/data/wt/ramdisk/test_export_03/annotations/picture_0_2025_07_23_11_44_04_659.json,11,1,"[655.0, 1204.0, 1010.0, 1847.0]","[16.0, 32.0, 17.0, 33.0]"
img_7db979cdc486917a,picture_4_2025_07_28_09_52_00_279.jpg,/data/wt/ramdisk/leishi_026/test/bad/picture_4_2025_07_28_09_52_00_279.jpg,1,9966,"[714.0, 1971.0, 813.0, 2433.0]",1,42,16,gui_lookup_results/query_20260807_154852_224327/query_mask.png,anomaly,/data/wt/two_stages/base_patch/anomaly,1,0.18291963636875153,115,img_5d1ee1dd14744005,img_5d1ee1dd14744005_roi_0004_p0,picture_2_2025_07_28_09_50_54_413.jpg,/data/wt/ramdisk/test_export_03/images/picture_2_2025_07_28_09_50_54_413.jpg,picture_2_2025_07_28_09_50_54_413.jpg,/data/wt/ramdisk/test_export_03/annotations/picture_2_2025_07_28_09_50_54_413.json,4,1,"[500.0, 1284.0, 566.0, 1945.0]","[12.0, 27.0, 13.0, 28.0]"
